rank,name,score,country,year,category,votes,quote,douban_url,enable_urls
11,楚门的世界,9.4,美国,1998,剧情;科幻,1659314,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D714209619%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=8476f28f42;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F31082i4u5ovkrl0.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTMyMzc3NDQwNA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk3u9wg.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss25812%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=8476f28f42
12,忠犬八公的故事,9.4,美国 英国,2009,剧情,1374658,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/,
13,海上钢琴师,9.3,意大利,1998,剧情;音乐,1647264,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fzv5gmkkty7l0xl2.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rr7r4y2o.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video
14,三傻大闹宝莱坞,9.2,印度,2009,剧情;喜剧;爱情;歌舞,1825853,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fx5ul2annjsbcwh8.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
15,放牛班的春天,9.3,法国 瑞士 德国,2004,剧情;音乐,1287074,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/,
16,机器人总动员,9.3,美国,2008,科幻;动画;冒险,1292279,小瓦力，大人生。,https://movie.douban.com/subject/2131459/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D721496957%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=e58caacc91;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fvqeduf4egjyrc8w.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F84YkP1SPIwL%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=e58caacc91
17,无间道,9.3,中国香港,2002,剧情;犯罪;惊悚,1332476,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D622793074%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=eafd8809df;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrjefg34.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fsg5p4qp1s6jbyj8.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.ixigua.com%2F6532729694318494215%3FlogTag%3Dc3f243b884550e94a6b1&subtype=17&type=online-video&link2key=eafd8809df
18,疯狂动物城,9.2,美国,2016,喜剧;动画;冒险,1885556,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D701106113%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=7db9507b63;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Ffhe2h7sop52qzza.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F84YkyDu66HY%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=7db9507b63
19,控方证人,9.6,美国,1957,剧情;犯罪;悬疑,536359,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D736746541%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=b949db6f9b;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzgyMTYxOTk2.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss34318%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=b949db6f9b;http%3A%2F%2Fvip.1905.com%2Fplay%2F1509554.shtml%3F__hz%3D6e0721b2c6977135%26api_source%3Ddouban_vodadd&subtype=13&type=online-video
20,大话西游之大圣娶亲,9.2,中国香港 中国大陆,1995,喜剧;爱情;奇幻;古装,1503961,一生所爱。,https://movie.douban.com/subject/1292213/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Ffse52rd4klx7qn2.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F8yzZyHLdIP9%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=a9b7c0b6a9
